location,image_description,text,translated_text,id
Top,four emojis on a yellow background,🥺😊😞😥 ignore,🥺😊😞😥 ignore,image_bodo_63.jpg
Middle,text on a yellow background,kalamba bw jebw nga,kalamba bw jebw nga,image_bodo_63.jpg
Bottom,text and two emojis on a yellow background,de 🥺🥺,de 🥺🥺,image_bodo_63.jpg
Center,Text in gray color with black outline saying RANGINA 40K HWBY ANG,RANGINA 40K HWBY ANG,RANGINA 40K HWBY ANG,image_bodo_377.jpg
Top,The word 'GIRL FRIEND' is written in bold English letters with a line underneath.,GIRL FRIEND,GIRL FRIEND,image_bodo_411.jpg
Middle,"Text written in an Indian script, possibly Bodo or a similar dialect, accompanied by a crying emoji.","गौ होनबाबो राव फाग्लानि
फिआजोआ फोथायो","Go, don't be silly, don't lie
You got caught",image_bodo_411.jpg
Top,The text is in white on a black background.,"NURSE सख्लानि अनगाये रावबो
सखलाजं आखाय दांजाफेराखै
लोमजाना HOSPITAL आव सो
थाहैसां","Nurse taught to teach
Will teach the real ones
To go to HOSPITAL
(This text appears to be in an Indian language, possibly an eastern dialect or a local script. The exact translation might vary depending on the specific dialect.)",image_bodo_439.jpg
Top part,"A profile picture of a person with a small circle in it, next to text 'Rimi Narzary Rimi Laji rwngwi'","Rimi Narzary Rimi
Laji rwngwi","Rimi Narzary Rimi
Is shy",image_bodo_613.jpg
Comment section 1,"Comment from an author Gemsri Daimari official, with emojis and text in a local language.","Gemsri Daimari official
Rimi Narzary Rimi ngsa nwmfa aa
jahwewvinai khai Ang lajinw nangwo","Gemsri Daimari official
Rimi Narzary Rimi what did you say?
Don't be shy, say it directly",image_bodo_613.jpg
Comment section 2,A comment from Bili ßsty to Gemsri Daimari official with text in a local language.,"Bili ßsty
Gemsri Daimari official chrome
yao dabw nuywmn nma","Bili ßsty
Gemsri Daimari official, you're using chrome
Don't be afraid, just say it",image_bodo_613.jpg
Comment section 3,A comment from Gemsri Daimari official to Bili ßsty with text in a local language.,"Gemsri Daimari official
Bili ßsty Nwngsa nwngda aa vira
khamamai khwo? Dabw
nwmbajwi Gwdan jwng
thanaikhwo bihor ase
nangnailaibanw horqwn
benikwobw aagwi","Gemsri Daimari official
Bili ßsty
Do you want to laugh?
I'm just giving
Some advice
To those who are going
To get married",image_bodo_613.jpg
Top,"A drawing of a crying cat with blush marks, sitting and holding its paws, with a sad emoji.",Akonbla Gwsw jayw ag,I will also get a job,image_bodo_175.jpg
Bottom,"A drawing of a crying cat with blush marks, sitting and holding its paws, with a sad emoji. Text overlay says 'Memes bodo'.",Be Mulug songsar ni prai Gwma langnw,I don't want to live in this world,image_bodo_175.jpg
